run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR7641576	SAMN09755523	SRX4505071	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641576/SRR7641576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641576/SRR7641576_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641576	TLA-6823	Prnp-SCNA*A53T (line 23)	
SRR7641602	SAMN09755544	SRX4505045	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641602/SRR7641602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641602/SRR7641602_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/002/SRR7641602	TLA-18442	SNCA	
SRR7641577	SAMN09755524	SRX4505070	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641577/SRR7641577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641577/SRR7641577_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/007/SRR7641577	TLA-6954	Ddx4-cre	
SRR7641603	SAMN09755541	SRX4505044	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641603/SRR7641603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641603/SRR7641603_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641603	TLA-15815	tetO-MAPT*P301L	
SRR7641583	SAMN09755537	SRX4505064	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641583/SRR7641583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641583/SRR7641583_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641583	TLA-12467	Lrrk2*G2019S	
SRR7641588	SAMN09755536	SRX4505059	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641588/SRR7641588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641588/SRR7641588_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641588	TLA-9617	NSG-HLA-A2.1	
SRR7641589	SAMN09755535	SRX4505058	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641589/SRR7641589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641589/SRR7641589_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641589	TLA-9604	LRRK2*R1441G	
SRR7641590	SAMN09755535	SRX4505057	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641590/SRR7641590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641590/SRR7641590_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/000/SRR7641590	TLA-9604	LRRK2*R1441G	
SRR7641595	SAMN09755546	SRX4505052	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641595/SRR7641595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641595/SRR7641595_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/005/SRR7641595	TLA-18786	LRRK2*R1441G	
SRR7641597	SAMN09755538	SRX4505050	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641597/SRR7641597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641597/SRR7641597_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/007/SRR7641597	TLA-13725	LRRK2	
SRR7641601	SAMN09755544	SRX4505046	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641601/SRR7641601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/001/SRR7641601/SRR7641601_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/001/SRR7641601	TLA-18442	SNCA	
